[2026-05-15 15:07:06] 
[2026-05-15 15:07:06] === Vietnam Job Scraper START: 20260515 ===
[2026-05-15 15:07:06]   Loaded 23 existing jobs, 23 dedup hashes
[2026-05-15 15:07:06] Scraping LinkedIn Vietnam (Playwright)...
[2026-05-15 15:07:07]   LinkedIn search: english teacher vietnam
[2026-05-15 15:07:10]     Found 59 IDs total, 59 new
[2026-05-15 15:07:13]     ✓ Job 4389540444: FULL-TIME Expat ESL Teachers in Vietnam (BINH DUON @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:07:17]     ✓ Job 4386872829: Full-time Public School Teachers in Ho Chi Minh |  @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:07:20]     ✓ Job 4309686917: English as a Second Language (ESL) Tutor @ DataAnnotation
[2026-05-15 15:07:24]     ✓ Job 4402399810: Hiring FULL -TIME ESL Teachers in Ho Chi Minh City @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:07:28]     ✓ Job 4386871859: Hiring PART-TIME ESL Teachers in Ho Chi Minh City @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:07:31]     ✓ Job 4386891010: Hiring ESL Teachers for our 70+ centres! (for Over @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:07:35]     ✓ Job 4386873669: Hiring ESL Teachers| For Expatriates currently in  @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:07:39]     ✓ Job 4198828076: Teach Vietnam - Major @ TEFL UK
[2026-05-15 15:07:43]     ✓ Job 4403614509: [Hanoi] Secondary ESL Teachers for Premium Schools @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:07:47]     ✓ Job 4411982325: ESL Teacher | International School in Lao Cai, Vie @ Guardian Jobs
[2026-05-15 15:07:51]     ✓ Job 4399236046: [Hanoi] Full-time Secondary teachers-Atlantic Five @ Atlantic Teacher Careers
[2026-05-15 15:07:55]     ✓ Job 4339514282: Teach Vietnam - Hanoi @ TEFL UK
[2026-05-15 15:07:58]     ✓ Job 4414701267: [HANOI] 5S CENTERS- PART TIME ENGLISH TEACHER NEED @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:02]     ✓ Job 4414144018: [An Giang] FULLTIME ENGLISH TEACHERS @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:06]     ✓ Job 4412101892: FULL-TIME KINDERGARTEN ENGLISH TEACHER @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:09]     ✓ Job 4406540565: SECONDARY ENGLISH TEACHER (Academic year 2026 - 20 @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:13]     ✓ Job 4409935466: EIV HCM - ENGLISH TEACHERS (FULLTIME/PARTIME) @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:16]     ✓ Job 4198830029: Teach Vietnam - TJAP @ TEFL UK
[2026-05-15 15:08:20]     ✓ Job 4299039549: Teach Vietnam - VietAhn @ TEFL UK
[2026-05-15 15:08:23]     ✓ Job 4304449239: English Tutor @ DataAnnotation
[2026-05-15 15:08:27]     ✓ Job 4280480549: English Teachers for Kindergarten school in Ha Noi @ Global TEFL - Global Language Training Ltd.
[2026-05-15 15:08:31]     ✓ Job 4408683410: ENGLISH SCIENCE TEACHER (AY 2026-2027) Starting in @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:34]     ✓ Job 4412799303: ESL & GP Teacher (Lower Secondary) @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:38]     ✓ Job 3984653056: English Teacher @ Premier Residences Phu Quoc Emerald Bay Managed by AccorHotels
[2026-05-15 15:08:41]     ✓ Job 4413586011: ESL & GP Teacher (Lower Secondary) @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:08:45]     ✓ Job 3984649452: Giáo viên tiếng Anh @ Trường Thắng
[2026-05-15 15:08:48]     ✓ Job 4304433444: English Teacher @ DataAnnotation
[2026-05-15 15:08:52]     ✓ Job 4401107973: Giáo viên tiếng Anh @ Day A
[2026-05-15 15:08:55]     ✓ Job 3984646809: Native English Teacher @ Trung Tâm Tiếng Anh Lesh
[2026-05-15 15:08:59]     ✓ Job 4406556162: Part - Time ESL Teacher Wanted in Hanoi City @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:09:02]     ✓ Job 4399236048: [HANOI] Full-time High school/IELTS Teachers neede @ Atlantic Teacher Careers
[2026-05-15 15:09:06]     ✓ Job 3984649322: Giáo viên tiếng anh @ Anh Ngữ TalkFirst
[2026-05-15 15:09:10]     ✓ Job 4413247154: Secondary English Teacher (from Jan-2027) @ Australian International School, Vietnam
[2026-05-15 15:09:14]     ✓ Job 4394474859: [HCM] International Program Teacher / Kindergarten @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:09:18]     ✓ Job 3984647946: GIÁO VIÊN TIẾNG ANH @ Anh Ngữ TalkFirst
[2026-05-15 15:09:22]     ✓ Job 4402625409: Giáo Viên Tiếng Anh @ Hệ thống đào tạo CNTT T3H Hà Nội
[2026-05-15 15:09:25]     ✓ Job 4321317044: Preschool ESL Teacher IMA Kindergarten (Thao Dien, @ Legal & Teaching Jobs for Foreign Teachers in Vietnam
[2026-05-15 15:09:29]     ✓ Job 4399222770: [HANOI] Part-time Secondary Teachers needed for ou @ Atlantic Teacher Careers
[2026-05-15 15:09:33]     ✓ Job 4402616544: Giáo viên Tiếng ANh @ HTC Viễn Thông Quốc Tế
